# calibration factors (measured/analytic at high density)
   L                      0.41
   T                      0.40
   either_L               0.49
   either_T               0.47
   either_ring3           1.30
   either_smiley          0.72
   either_smiley_relaxed  0.71
   either_sq2             0.72
   ring3                  1.04
   smiley                 0.52
   smiley_relaxed         0.62
   sq2                    0.67
   trap1                  0.62
   trap2                  0.39

== open64  years=10000  occupancy=0.0154  places/yr=1016.1  takes/yr=1016.1  trap-closures/yr=0.0136  villager-in-cell=0  deep_pit=0  min_h=1
pattern                       n      rate/ey                 90% CI     analytic
sq3                           1    0.0010417    [5.34e-05, 0.00494]     0.000407
hole_sq3                      0            0           [0, 0.00312]     0.000407
either_sq3                    2    0.0020833     [0.00037, 0.00656]     0.000407
ring3                         1    0.0010417    [5.34e-05, 0.00494]      0.00335
hole_ring3                    0            0           [0, 0.00312]      0.00335
either_ring3                  4    0.0041667     [0.00142, 0.00953]      0.00417
smiley                        5    0.0052083       [0.00205, 0.011]      0.00521
hole_smiley                   0            0           [0, 0.00312]      0.00521
either_smiley                 7    0.0072917      [0.00342, 0.0137]      0.00729
smiley_relaxed            42267       44.028           [43.7, 44.4]           44
hole_smiley_relaxed           0            0           [0, 0.00312]           44
either_smiley_relaxed     48834       50.869           [50.5, 51.2]         50.9
L                           613      0.63854         [0.597, 0.683]        0.639
hole_L                        0            0           [0, 0.00312]        0.639
either_L                    745      0.77604          [0.73, 0.824]        0.776
T                           600        0.625         [0.584, 0.669]        0.625
hole_T                        0            0           [0, 0.00312]        0.625
either_T                    703      0.73229         [0.687, 0.779]        0.732
trap1                      5594       5.8271            [5.7, 5.96]         5.83
trap2                        68     0.070833       [0.0573, 0.0867]       0.0708
pit1                          0            0           [0, 0.00312]            -
pit_depth2                    0            0           [0, 0.00312]            -
pit3x3                        0            0           [0, 0.00312]            -
   stack-height occupancy: 1:0.104 2:0.00935 3:0.000302 4:5.88e-05 5:3.76e-05 6:3.31e-05 7:4.17e-05

== open512  years=1000  occupancy=0.1121  places/yr=1696.5  takes/yr=1696.5  trap-closures/yr=5.199  villager-in-cell=0  deep_pit=0  min_h=1
pattern                       n      rate/ey                 90% CI     analytic
pillar3                    5047        5.047           [4.93, 5.17]            -
pillar4                     131        0.131         [0.113, 0.151]            -
pillar5                      28        0.028       [0.0199, 0.0384]            -
sq2                        6113        6.113           [5.98, 6.24]          6.2
hole_sq2                      0            0             [0, 0.003]          6.2
either_sq2                 6631        6.631            [6.5, 6.77]          6.7
sq3                           0            0             [0, 0.003]     0.000358
hole_sq3                      0            0             [0, 0.003]     0.000358
either_sq3                    0            0             [0, 0.003]     0.000358
ring3                         3        0.003    [0.000818, 0.00775]        0.003
hole_ring3                    0            0             [0, 0.003]        0.003
either_ring3                  6        0.006      [0.00261, 0.0118]      0.00373
smiley                        3        0.003    [0.000818, 0.00775]       0.0049
hole_smiley                   0            0             [0, 0.003]       0.0049
either_smiley                 3        0.003    [0.000818, 0.00775]      0.00686
smiley_relaxed            42032       42.032           [41.7, 42.4]         41.8
hole_smiley_relaxed           0            0             [0, 0.003]         41.8
either_smiley_relaxed     48744       48.744           [48.4, 49.1]         48.3
L                           525        0.525         [0.488, 0.564]        0.603
hole_L                        0            0             [0, 0.003]        0.603
either_L                    667        0.667         [0.625, 0.711]        0.733
T                           639        0.639         [0.598, 0.682]         0.59
hole_T                        0            0             [0, 0.003]         0.59
either_T                    740         0.74         [0.696, 0.786]        0.692
trap1                      5515        5.515           [5.39, 5.64]         5.55
trap2                         0            0             [0, 0.003]       0.0654
pit1                          0            0             [0, 0.003]            -
pit_depth2                    0            0             [0, 0.003]            -
pit3x3                        0            0             [0, 0.003]            -
   stack-height occupancy: 1:0.102 2:0.00902 3:0.000283 4:5.85e-05 5:6.31e-05 6:5.12e-05 7:4.76e-05

== flat  years=100  occupancy=0.0000  places/yr=0.0  takes/yr=0.0  trap-closures/yr=0  villager-in-cell=0  deep_pit=0  min_h=1
pattern                       n      rate/ey                 90% CI     analytic
pillar3                       0            0              [0, 0.03]            -
pillar4                       0            0              [0, 0.03]            -
pillar5                       0            0              [0, 0.03]            -
sq2                           0            0              [0, 0.03]            0
hole_sq2                      0            0              [0, 0.03]            0
either_sq2                    0            0              [0, 0.03]            0
sq3                           0            0              [0, 0.03]            0
hole_sq3                      0            0              [0, 0.03]            0
either_sq3                    0            0              [0, 0.03]            0
ring3                         0            0              [0, 0.03]            0
hole_ring3                    0            0              [0, 0.03]            0
either_ring3                  0            0              [0, 0.03]            0
smiley                        0            0              [0, 0.03]            0
hole_smiley                   0            0              [0, 0.03]            0
either_smiley                 0            0              [0, 0.03]            0
smiley_relaxed                0            0              [0, 0.03]            0
hole_smiley_relaxed           0            0              [0, 0.03]            0
either_smiley_relaxed         0            0              [0, 0.03]            0
L                             0            0              [0, 0.03]            0
hole_L                        0            0              [0, 0.03]            0
either_L                      0            0              [0, 0.03]            0
T                             0            0              [0, 0.03]            0
hole_T                        0            0              [0, 0.03]            0
either_T                      0            0              [0, 0.03]            0
trap1                         0            0              [0, 0.03]            0
trap2                         0            0              [0, 0.03]            0
pit1                          0            0              [0, 0.03]            -
pit_depth2                    0            0              [0, 0.03]            -
pit3x3                        0            0              [0, 0.03]            -
   stack-height occupancy: 

# open64: in-game years to first occurrence, and wall-clock days at 10 in-game years/day
pattern                   rate/ey      y@0.1        y@1       y@20      d@0.1        d@1       d@20
pillar3                    0.0463        216       21.6       1.08       21.6       2.16      0.108
pillar4                    0.0003  3.333e+04       3333      166.7       3333      333.3      16.67
pillar5                         0      never      never      never          -          -          -
sq2                        0.0104      961.5      96.15      4.808      96.15      9.615     0.4808
sq3                     2.664e-11  3.753e+11  3.753e+10  1.877e+09  3.753e+10  3.753e+09  1.877e+08
ring3                   1.784e-09  5.604e+09  5.604e+08  2.802e+07  5.604e+08  5.604e+07  2.802e+06
smiley                  1.158e-07  8.634e+07  8.634e+06  4.317e+05  8.634e+06  8.634e+05  4.317e+04
smiley_relaxed             0.0191      523.6      52.36      2.618      52.36      5.236     0.2618
L                       0.0001835  5.448e+04       5448      272.4       5448      544.8      27.24
T                       0.0001797  5.566e+04       5566      278.3       5566      556.6      27.83
trap1                      0.0122      819.7      81.97      4.098      81.97      8.197     0.4098
trap2                    1.89e-06  5.291e+06  5.291e+05  2.646e+04  5.291e+05  5.291e+04       2646
pit1                            0      never      never      never          -          -          -
pit_depth2                      0      never      never      never          -          -          -
pit3x3                          0      never      never      never          -          -          -
